ALGORITHM;Node 1;Node 2;Seed node;Mult Weight;PRECISION;RECALL;F1;JaccardIndex
tce;501;246;327;2.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;501;246;210;2.0;0.043478260869565216;0.18181818181818182;0.07017543859649122;0.03636363636363636
tce;501;246;352;2.0;0.0625;0.09090909090909091;0.07407407407407407;0.038461538461538464
tce;501;246;485;2.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;501;246;616;2.0;0.25;1.0;0.4;0.25
tce;501;246;236;2.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;501;246;371;2.0;0.3333333333333333;0.18181818181818182;0.23529411764705885;0.13333333333333333
tce;501;246;501;2.0;0.3333333333333333;0.18181818181818182;0.23529411764705885;0.13333333333333333
tce;501;246;246;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;501;246;638;2.0;0.08;0.18181818181818182;0.1111111111111111;0.058823529411764705
tce;501;246;639;2.0;0.13043478260869565;0.2727272727272727;0.1764705882352941;0.0967741935483871
tce;352;246;327;6.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;246;210;6.0;0.10526315789473684;0.18181818181818182;0.13333333333333333;0.07142857142857142
tce;352;246;352;6.0;0.24444444444444444;1.0;0.39285714285714285;0.24444444444444444
tce;352;246;485;6.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;246;616;6.0;0.25;1.0;0.4;0.25
tce;352;246;236;6.0;0.2727272727272727;0.5454545454545454;0.3636363636363636;0.2222222222222222
tce;352;246;371;6.0;0.25;1.0;0.4;0.25
tce;352;246;501;6.0;0.25;1.0;0.4;0.25
tce;352;246;246;6.0;0.25;1.0;0.4;0.25
tce;352;246;638;6.0;0.041666666666666664;0.09090909090909091;0.05714285714285715;0.029411764705882353
tce;352;246;639;6.0;0.24444444444444444;1.0;0.39285714285714285;0.24444444444444444
tce;485;639;327;4.0;0.42857142857142855;0.2727272727272727;0.33333333333333326;0.2
tce;485;639;210;4.0;0.375;0.2727272727272727;0.3157894736842105;0.1875
tce;485;639;352;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;485;639;485;4.0;0.42857142857142855;0.2727272727272727;0.33333333333333326;0.2
tce;485;639;616;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;485;639;236;4.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;485;639;371;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;485;639;501;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;485;639;246;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;485;639;638;4.0;0.1746031746031746;1.0;0.29729729729729726;0.1746031746031746
tce;485;639;639;4.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;616;246;327;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;616;246;210;4.0;0.043478260869565216;0.18181818181818182;0.07017543859649122;0.03636363636363636
tce;616;246;352;4.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;485;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;616;246;616;4.0;0.22916666666666666;1.0;0.37288135593220334;0.22916666666666666
tce;616;246;236;4.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;616;246;371;4.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;501;4.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;246;4.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;638;4.0;0.041666666666666664;0.09090909090909091;0.05714285714285715;0.029411764705882353
tce;616;246;639;4.0;0.15;0.2727272727272727;0.19354838709677416;0.10714285714285714
tce;352;639;327;6.0;0.14285714285714285;0.09090909090909091;0.1111111111111111;0.058823529411764705
tce;352;639;210;6.0;0.0625;0.09090909090909091;0.07407407407407407;0.038461538461538464
tce;352;639;352;6.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;639;485;6.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;639;616;6.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;352;639;236;6.0;0.13636363636363635;0.2727272727272727;0.1818181818181818;0.1
tce;352;639;371;6.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;352;639;501;6.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;352;639;246;6.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;352;639;638;6.0;0.08;0.18181818181818182;0.1111111111111111;0.058823529411764705
tce;352;639;639;6.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;210;246;327;6.0;0.5;0.09090909090909091;0.15384615384615385;0.08333333333333333
tce;210;246;210;6.0;0.2857142857142857;0.5454545454545454;0.37499999999999994;0.23076923076923078
tce;210;246;352;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;210;246;485;6.0;0.2857142857142857;0.5454545454545454;0.37499999999999994;0.23076923076923078
tce;210;246;616;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;210;246;236;6.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;210;246;371;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;210;246;501;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;210;246;246;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;210;246;638;6.0;0.041666666666666664;0.09090909090909091;0.05714285714285715;0.029411764705882353
tce;210;246;639;6.0;0.22448979591836735;1.0;0.36666666666666664;0.22448979591836735
tce;616;246;327;6.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;616;246;210;6.0;0.10526315789473684;0.18181818181818182;0.13333333333333333;0.07142857142857142
tce;616;246;352;6.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;485;6.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;616;246;616;6.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;236;6.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;616;246;371;6.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;501;6.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;246;6.0;0.23404255319148937;1.0;0.3793103448275862;0.23404255319148937
tce;616;246;638;6.0;0.041666666666666664;0.09090909090909091;0.05714285714285715;0.029411764705882353
tce;616;246;639;6.0;0.16666666666666666;0.2727272727272727;0.20689655172413793;0.11538461538461539
tce;371;501;327;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;371;501;210;4.0;0.043478260869565216;0.18181818181818182;0.07017543859649122;0.03636363636363636
tce;371;501;352;4.0;0.0625;0.09090909090909091;0.07407407407407407;0.038461538461538464
tce;371;501;485;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;371;501;616;4.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;371;501;236;4.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;371;501;371;4.0;0.125;0.18181818181818182;0.14814814814814814;0.08
tce;371;501;501;4.0;0.2857142857142857;0.18181818181818182;0.2222222222222222;0.125
tce;371;501;246;4.0;0.06060606060606061;0.18181818181818182;0.09090909090909091;0.047619047619047616
tce;371;501;638;4.0;0.07142857142857142;0.18181818181818182;0.10256410256410255;0.05405405405405406
tce;371;501;639;4.0;0.25;1.0;0.4;0.25
tce;352;236;327;2.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;236;210;2.0;0.043478260869565216;0.18181818181818182;0.07017543859649122;0.03636363636363636
tce;352;236;352;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;236;485;2.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;236;616;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;236;236;2.0;0.08333333333333333;0.18181818181818182;0.1142857142857143;0.06060606060606061
tce;352;236;371;2.0;0.06666666666666667;0.18181818181818182;0.0975609756097561;0.05128205128205128
tce;352;236;501;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;236;246;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;352;236;638;2.0;0.08;0.18181818181818182;0.1111111111111111;0.058823529411764705
tce;352;236;639;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;210;485;327;2.0;0.3333333333333333;0.18181818181818182;0.23529411764705885;0.13333333333333333
tce;210;485;210;2.0;0.10810810810810811;0.36363636363636365;0.16666666666666669;0.09090909090909091
tce;210;485;352;2.0;0.0625;0.09090909090909091;0.07407407407407407;0.038461538461538464
tce;210;485;485;2.0;0.3333333333333333;0.18181818181818182;0.23529411764705885;0.13333333333333333
tce;210;485;616;2.0;0.25;1.0;0.4;0.25
tce;210;485;236;2.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;210;485;371;2.0;0.25;1.0;0.4;0.25
tce;210;485;501;2.0;0.25;1.0;0.4;0.25
tce;210;485;246;2.0;0.06060606060606061;0.18181818181818182;0.09090909090909091;0.047619047619047616
tce;210;485;638;2.0;0.14814814814814814;0.36363636363636365;0.21052631578947367;0.11764705882352941
tce;210;485;639;2.0;0.42857142857142855;0.2727272727272727;0.33333333333333326;0.2
tce;210;246;327;2.0;0.08571428571428572;0.2727272727272727;0.13043478260869562;0.06976744186046512
tce;210;246;210;2.0;0.06666666666666667;0.18181818181818182;0.0975609756097561;0.05128205128205128
tce;210;246;352;2.0;0.0625;0.09090909090909091;0.07407407407407407;0.038461538461538464
tce;210;246;485;2.0;0.06666666666666667;0.18181818181818182;0.0975609756097561;0.05128205128205128
tce;210;246;616;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;210;246;236;2.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;210;246;371;2.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;210;246;501;2.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;210;246;246;2.0;0.2558139534883721;1.0;0.40740740740740744;0.2558139534883721
tce;210;246;638;2.0;0.08;0.18181818181818182;0.1111111111111111;0.058823529411764705
tce;210;246;639;2.0;0.2619047619047619;1.0;0.41509433962264153;0.2619047619047619
tce;352;246;327;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;246;210;4.0;0.043478260869565216;0.18181818181818182;0.07017543859649122;0.03636363636363636
tce;352;246;352;4.0;0.24444444444444444;1.0;0.39285714285714285;0.24444444444444444
tce;352;246;485;4.0;0.4;0.18181818181818182;0.25000000000000006;0.14285714285714285
tce;352;246;616;4.0;0.25;1.0;0.4;0.25
tce;352;246;236;4.0;0.06666666666666667;0.09090909090909091;0.07692307692307691;0.04
tce;352;246;371;4.0;0.25;1.0;0.4;0.25
tce;352;246;501;4.0;0.25;1.0;0.4;0.25
tce;352;246;246;4.0;0.25;1.0;0.4;0.25
tce;352;246;638;4.0;0.041666666666666664;0.09090909090909091;0.05714285714285715;0.029411764705882353
tce;352;246;639;4.0;0.24444444444444444;1.0;0.39285714285714285;0.24444444444444444
